iter	Logloss
0	0.6742215049
1	0.6602271789
2	0.6444361023
3	0.6301816955
4	0.6213276842
5	0.6082126061
6	0.6022660295
7	0.5848627257
8	0.5783778185
9	0.5633652165
10	0.560798673
11	0.5557867674
12	0.5456211914
13	0.5358838843
14	0.5302105166
15	0.5265996637
16	0.5203604498
17	0.517049537
18	0.5147403228
19	0.5062204226
20	0.5042660166
21	0.4973002994
22	0.4900957424
23	0.4833656738
24	0.4777197025
25	0.4719089426
26	0.4705037249
27	0.4662094993
28	0.4648693351
29	0.461421167
30	0.4586127398
31	0.4562005948
32	0.4544771507
33	0.4528893237
34	0.4483622455
35	0.4419028929
36	0.441264794
37	0.4385915682
38	0.4362011201
39	0.4332948137
40	0.4315996134
41	0.4276283408
42	0.4260111677
43	0.4251869478
44	0.4232501567
45	0.4214543388
46	0.4207406905
47	0.419310436
48	0.4187491488
49	0.4177180279
50	0.4173998329
51	0.41669493
52	0.4148547562
53	0.4145800343
54	0.413567437
55	0.4120221537
56	0.4116360305
57	0.4112262359
58	0.4108804624
59	0.4107178971
60	0.4092596481
61	0.408974092
62	0.4080318538
63	0.4073800373
64	0.4057526
65	0.4054020004
66	0.4037723251
67	0.4013643833
68	0.398283553
69	0.3979643655
70	0.3972040465
71	0.3969929995
72	0.3959907329
73	0.3958765684
74	0.3947129067
75	0.3933201903
76	0.392443196
77	0.3907084175
78	0.390564776
79	0.3903134452
80	0.3901658596
81	0.3899234749
82	0.3897964019
83	0.3896708172
84	0.3887989806
85	0.388551767
86	0.3880568221
87	0.3875622554
88	0.3861105046
89	0.3857032755
90	0.3855867506
91	0.3849546431
92	0.3847286
93	0.3845800883
94	0.3839446942
95	0.3836501558
96	0.3830371737
97	0.3828103838
98	0.3823953853
99	0.3818812641
100	0.3817006579
101	0.3815723198
102	0.381313857
103	0.3810622038
104	0.380931004
105	0.3802631084
106	0.3794620603
107	0.3787459118
108	0.3777106914
109	0.3775206816
110	0.3773305376
111	0.3768681682
112	0.3767706264
113	0.3766172756
114	0.3761254334
115	0.3760011341
116	0.3758623597
117	0.3755687802
118	0.3753752868
119	0.3752328087
120	0.3748918364
121	0.3744398413
122	0.3743390362
123	0.3742135632
124	0.3741168583
125	0.3740344253
126	0.3735177392
127	0.373364863
128	0.3724260893
129	0.3719658477
130	0.3715208094
131	0.3714372032
132	0.371353464
133	0.3709846964
134	0.3705376203
135	0.3698269976
136	0.3694115839
137	0.3693433406
138	0.3688724377
139	0.3687759798
140	0.3685942239
141	0.3685090534
142	0.3683704948
143	0.3682740258
144	0.3677927451
145	0.367329696
146	0.3672218781
147	0.3671515379
148	0.3668035556
149	0.36666812
150	0.3665934046
151	0.366402022
152	0.3655881964
153	0.3654801988
154	0.365381119
155	0.365130631
156	0.3649663094
157	0.3648388343
158	0.3636807347
159	0.3635860713
160	0.3634665826
161	0.3633717325
162	0.3632914483
163	0.3631873164
164	0.3627856777
165	0.3626751275
166	0.3623929769
167	0.3619197584
168	0.3618635212
169	0.3614258879
170	0.3611521874
171	0.3610488739
172	0.3609511668
173	0.3605102845
174	0.3600527035
175	0.3599185827
176	0.3598409083
177	0.3597415968
178	0.3595234354
179	0.3590508344
180	0.358980734
181	0.3588330051
182	0.3587362921
183	0.3580304245
184	0.3574422648
185	0.3572129268
186	0.357125999
187	0.356890855
188	0.3565350525
189	0.3563683286
190	0.3559541586
191	0.355770264
192	0.355534644
193	0.3548820668
194	0.3547986962
195	0.3546742328
196	0.3542851862
197	0.3540154346
198	0.3537338927
199	0.3536089489
200	0.353187033
201	0.352867168
202	0.3524967378
203	0.3522323117
204	0.351677416
205	0.3512722761
206	0.3511642565
207	0.3509517746
208	0.3508396906
209	0.3507552904
210	0.3500603371
211	0.3496573571
212	0.3495609281
213	0.349449371
214	0.3491097811
215	0.3489996687
216	0.3485939746
217	0.3483236189
218	0.3482429499
219	0.3481752799
220	0.3480509417
221	0.3479434631
222	0.3478547242
223	0.3477525809
224	0.3476625609
225	0.3473596861
226	0.3472732231
227	0.3471709543
228	0.347077488
229	0.3469711323
230	0.3468744369
231	0.3464813113
232	0.3464016525
233	0.3458274895
234	0.3454990911
235	0.3453912191
236	0.3452886316
237	0.3450544454
238	0.3449792834
239	0.3447839693
240	0.3446914731
241	0.3446046262
242	0.3437412656
243	0.3436241555
244	0.343526755
245	0.3432341769
246	0.3431560658
247	0.343045032
248	0.3429567014
249	0.342863565
250	0.3426401021
251	0.3425536748
252	0.342215479
253	0.3421381886
254	0.3420456462
255	0.3419624087
256	0.341905208
257	0.3418188293
258	0.3413023664
259	0.3410249958
260	0.3409311547
261	0.3407539744
262	0.3406328389
263	0.3405427871
264	0.3402463823
265	0.3400418685
266	0.3397765424
267	0.3396836794
268	0.3395954001
269	0.3395180188
270	0.3394329207
271	0.3392355041
272	0.3391626256
273	0.3390862725
274	0.3390202172
275	0.3385819539
276	0.338021227
277	0.3379232315
278	0.3375375508
279	0.3374347591
280	0.3372179641
281	0.337122113
282	0.3370274054
283	0.3369127398
284	0.3368321345
285	0.3366653648
286	0.336573525
287	0.3364969584
288	0.3364088081
289	0.3363171529
290	0.336256851
291	0.3361367873
292	0.3360648411
293	0.335997484
294	0.3359475712
295	0.3358502311
296	0.3357733412
297	0.3357050841
298	0.3356329684
299	0.3355027449
300	0.3353045179
301	0.3352195275
302	0.3351491642
303	0.335084548
304	0.3348875777
305	0.3348242681
306	0.3347618493
307	0.3346705153
308	0.3345540496
309	0.3344377001
310	0.3343624565
311	0.3342946148
312	0.3342210799
313	0.3341584
314	0.3340652432
315	0.3339930843
316	0.3338898126
317	0.3337903586
318	0.3336068228
319	0.3335045446
320	0.3334090955
321	0.3333434801
322	0.3332510679
323	0.333152777
324	0.3330619567
325	0.332979579
326	0.3328365874
327	0.3327637891
328	0.3327080833
329	0.3326188044
330	0.3325301714
331	0.3324391489
332	0.3323690723
333	0.3322094443
334	0.3320380328
335	0.3319470561
336	0.331862154
337	0.3317627044
338	0.3316591943
339	0.3314752647
340	0.3313368644
341	0.3310079098
342	0.330906055
343	0.3307071575
344	0.330636253
345	0.330551524
346	0.3304710581
347	0.3303837788
348	0.3302976745
349	0.3302033836
350	0.3301227215
351	0.3300441274
352	0.3299592102
353	0.3298968817
354	0.3298248304
355	0.3297561732
356	0.329674643
357	0.3296063612
358	0.3295246082
359	0.3294601948
360	0.329394172
361	0.3293139237
362	0.32926373
363	0.3291936016
364	0.3291037349
365	0.3290361484
366	0.32892234
367	0.3287860914
368	0.3286969426
369	0.3286166169
370	0.3285396941
371	0.3284396483
372	0.3283400996
373	0.3282798572
374	0.3282261957
375	0.3281396808
376	0.3280393089
377	0.3279737111
378	0.3278882712
379	0.3278442734
380	0.3277545532
381	0.327675334
382	0.3276156542
383	0.3275536592
384	0.3274924195
385	0.3274066258
386	0.3271438285
387	0.3269593306
388	0.3268745535
389	0.3266581497
390	0.3265762786
391	0.3264106182
392	0.3263248916
393	0.3262512536
394	0.3262005363
395	0.3260355678
396	0.3259272201
397	0.3258611515
398	0.3257710042
399	0.3256934292
400	0.3256078798
401	0.3255217687
402	0.3254381833
403	0.3253606953
404	0.3251811715
405	0.3250792329
406	0.3249887216
407	0.3249230159
408	0.3248258651
409	0.3247577555
410	0.3246873428
411	0.3245971515
412	0.3245005141
413	0.324448017
414	0.3243603148
415	0.3242333211
416	0.3241403587
417	0.3240749333
418	0.3240073395
419	0.3239144214
420	0.3238584953
421	0.3237848186
422	0.3237208498
423	0.3236630912
424	0.3233935077
425	0.3233143598
426	0.3232583831
427	0.3231929364
